article,name,birth,death,flourish,nationality,era,comment
Joan Ambrosio Dalza,Joan Ambrosio Dalza,,,1508,Italian,Renaissance,
Andrea Antico,Andrea Antico da Montona,c. 1480,after 1538,,Italian,Renaissance,
Marco Dall'Aquila,Marco Dall'Aquila,c. 1480,after 1538,,Italian,Renaissance,
Maistre Jhan,Maistre Jhan,c. 1485,1538,,Italian,Renaissance,
Gasparo Alberti,Gasparo Alberti,c. 1489,1560,,Italian,Renaissance,
Bernardo Pisano,Bernardo Pisano,1490,1548,,Italian,Renaissance,
Sebastiano Festa,Sebastiano Festa,1490/1495,1524,,Italian,Renaissance,
Marco Antonio Cavazzoni,Marco Antonio Cavazzoni,c. 1490,c. 1560,,Italian,Renaissance,
Franciscus Bossinensis,Franciscus Bossinensis,,,1509–1511,Italian,Renaissance,
Francesco de Layolle,Francesco de Layolle,1492,c. 1540,,Italian,Renaissance,
Costanzo Festa,Costanzo Festa,c. 1495,1545,,Italian,Renaissance,
Francesco Canova da Milano,Francesco Canova da Milano,1497,1543,,Italian,Renaissance,
Mattio Rampollini,Mattio Rampollini,1497,c. 1553,,Italian,Renaissance,
Albert de Rippe,Albert de Rippe,c. 1500,1551,,Italian,Renaissance,
Francesco Corteccia,Francesco Corteccia,1502,1571,,Italian,Renaissance,
Ambrose Lupo,Ambrose Lupo,1505,1591,,Italian,Renaissance,
Francesco Viola,Francesco Viola,,1568,,Italian,Renaissance,
Paolo Aretino,Paolo Aretino,1508,1584,,Italian,Renaissance,
Alfonso dalla Viola,Alfonso dalla Viola,c. 1508,c. 1573,,Italian,Renaissance,
Antonio Gardano,Antonio Gardano,1509,1569,,Italian,Renaissance,
Luigi Dentice,Luigi Dentice,c. 1510?,1566,,Italian,Renaissance,
Vincenzo Ruffo,Vincenzo Ruffo,c. 1510,1587,,Italian,Renaissance,
Claudio Veggio,Claudio Veggio,c. 1510,15??,,Italian,Renaissance,
Nicola Vicentino,Nicola Vicentino,c. 1511,1575/1576,,Italian,Renaissance,
Nicolao Dorati,Nicolao Dorati,c. 1513,1593,,Italian,Renaissance,
Domenico Ferrabosco,Domenico Ferrabosco,1513,1574,,Italian,Renaissance,
Giovanni Domenico da Nola,Giovanni Domenico da Nola,c. 1515,1592,,Italian,Renaissance,
Giandomenico Martoretta,Giandomenico Martoretta,c. 1515,1560s,,Italian,Renaissance,
Agostino Agostini,Agostino Agostini,,1569,,Italian,Renaissance,
Gioseffo Zarlino,Gioseffo Zarlino,1517,1590,,Italian,Renaissance,
Francesco Cellavenia,Francesco Cellavenia,,,1538–1563,Italian,Renaissance,
Giovanni Paolo Paladini,Giovanni Paolo Paladini,,,c. 1540–1560,Italian,Renaissance,
Giulio Fiesco,Giulio Fiesco,1519?,,1550–1570,Italian,Renaissance,
Giovanni Animuccia,Giovanni Animuccia,c. 1520,1571,,Italian,Renaissance,
Vincenzo Galilei,Vincenzo Galilei,c. 1520,1591,,Italian,Renaissance,
Francesco Portinaro,Francesco Portinaro,c. 1520,after 1577,,Italian,Renaissance,
Hoste da Reggio,Hoste da Reggio,c. 1520,1569,,Italian,Renaissance,
Ippolito Ciera,Ippolito Ciera,,,1546–1564,Italian,Renaissance,
Girolamo Parabosco,Girolamo Parabosco,c. 1524,1577,,Italian,Renaissance,
Girolamo Cavazzoni,Girolamo Cavazzoni,c. 1525,after 1577,,Italian,Renaissance,
Giovanni Pierluigi da Palestrina,Giovanni Pierluigi da Palestrina,c. 1525,1594,,Italian,Renaissance,
Baldassare Donato,Baldassare Donato,1525/1530,1603,,Italian,Renaissance,
Annibale Padovano,Annibale Padovano,1527,1575,,Italian,Renaissance,
Costanzo Porta,Costanzo Porta,c. 1529,1601,,Italian,Renaissance,
Giovanni Battista Conforti,Giovanni Battista Conforti,,,c. 1550–1570,Italian,Renaissance,
Fabritio Caroso,Fabritio Caroso,c. 1530,after 1600,,Italian,Renaissance,
Giorgio Mainerio,Giorgio Mainerio,c. 1530/1540,1582,,Italian,Renaissance,
Gianmatteo Asola,Gianmatteo Asola,c. 1532,1609,,Italian,Renaissance,
Andrea Gabrieli,Andrea Gabrieli,1532/1533,1585,,Italian,Renaissance,
Claudio Merulo,Claudio Merulo,1533,1604,,Italian,Renaissance,
Francesco Soto de Langa,Francesco Soto de Langa,1534,1619,,Italian,Renaissance,
Lodovico Agostini,Lodovico Agostini,1534,1590,,Italian,Renaissance,
Cesare Negri,Cesare Negri,1535,1605,,Italian,Renaissance,
Ippolito Chamaterò,Ippolito Chamaterò,1535/1540,after 1592,,Italian,Renaissance,
Marc'Antonio Ingegneri,Marc'Antonio Ingegneri,1535/1536,1592,,Italian,Renaissance,
Rocco Rodio,Rocco Rodio,c. 1535,after 1615,,Italian,Renaissance,
Annibale Stabile,Annibale Stabile,c. 1535,1595,,Italian,Renaissance,
Pietro Taglia,Pietro Taglia,,,c. 1555–1565,Italian,Renaissance,
Antonio Valente,Antonio Valente,,,1565–1580,Italian,Renaissance,
Pietro Vinci,Pietro Vinci,c. 1535,1584,,Italian,Renaissance,
Annibale Zoilo,Annibale Zoilo,c. 1537,1592,,Italian,Renaissance,
Stefano Felis,Stefano Felis,c. 1538?,1603,,Italian,Renaissance,
Fabrizio Dentice,Fabrizio Dentice,1539?,1581,,Italian,Renaissance,
Giovanni Dragoni,Giovanni Dragoni,c. 1540,1598,,Italian,Renaissance,
Filippo Azzaiolo,Filippo Azzaiolo,,,1557–1569,Italian,Renaissance,
Maddalena Casulana,Maddalena Casulana,c. 1540,c. 1590,,Italian,Renaissance,
Giovanni Ferretti,Giovanni Ferretti,c. 1540,after 1609,,Italian,Renaissance,
Alessandro Striggio,Alessandro Striggio,c. 1540,1592,,Italian,Renaissance,
Vincenzo Bellavere,Vincenzo Bellavere,c. 1540/1541,1587,,Italian,Renaissance,
Francesco Rovigo,Francesco Rovigo,1540/1541,1597,,Italian,Renaissance,
Gioseffo Guami,Gioseffo Guami,1542,1611,,Italian,Renaissance,
Alfonso Ferrabosco (I),Alfonso Ferrabosco the elder,1543,1588,,Italian,Renaissance,
Giovanni Maria Nanino,Giovanni Maria Nanino,1543/1544,1607,,Italian,Renaissance,
Ascanio Trombetti,Ascanio Trombetti,1544,1590,,Italian,Renaissance,
Gioseppe Caimo,Gioseppe Caimo,c. 1545,1584,,Italian,Renaissance,
Luzzasco Luzzaschi,Luzzasco Luzzaschi,c. 1545,1607,,Italian,Renaissance,
Francesco Soriano,Francesco Soriano,c. 1548,1621,,Italian,Renaissance,
Girolamo Dalla Casa,Girolamo Dalla Casa,,1601,from 1568,Italian,Renaissance,
Ippolito Baccusi,Ippolito Baccusi,c. 1550,1609,,Italian,Renaissance,
Emilio de' Cavalieri,Emilio de' Cavalieri,c. 1550,1602,,Italian,Renaissance,
Cesario Gussago,Cesario Gussago,c. 1550,1612,,Italian,Renaissance,
Pomponio Nenna,Pomponio Nenna,c. 1550,1613,,Italian,Renaissance,
Riccardo Rognoni,Riccardo Rognoni,c. 1550,c. 1620,,Italian,Renaissance,
David Sacerdote,David Sacerdote,1550,1625,,Italian,Renaissance,
Orazio Vecchi,Orazio Vecchi,1550,1605,,Italian,Renaissance,
Girolamo Conversi,Girolamo Conversi,,,c. 1572–1575,Italian,Renaissance,
Giulio Caccini,Giulio Caccini,1551,1618,,Italian,Renaissance,
Benedetto Pallavicino,Benedetto Pallavicino,c. 1551 , 1601,,Italian,Renaissance,
Girolamo Belli,Girolamo Belli,1552 , c. 1620,,Italian,Renaissance,
Luca Marenzio,Luca Marenzio,c. 1553 , 1599,,Italian,Renaissance,
Paolo Bellasio,Paolo Bellasio,1554,1594,,Italian,Renaissance,
Cosimo Bottegari,Cosimo Bottegari,1554,1620,,Italian,Renaissance,
Girolamo Diruta,Girolamo Diruta,c. 1554 , after 1610,,Italian,Renaissance,
Giovanni Giacomo Gastoldi,Giovanni Giacomo Gastoldi,c. 1554 , 1609,,Italian,Renaissance,
Giovanni Gabrieli,Giovanni Gabrieli,1554/1557,1612,,Italian,Renaissance,
Paolo Quagliati,Paolo Quagliati,1555,1628,,Italian,Renaissance,
Giovanni Croce,Giovanni Croce,c. 1557 , 1609,,Italian,Renaissance,
Alfonso Fontanelli,Alfonso Fontanelli,1557,1622,,Italian,Renaissance,
Giovanni Bassano,Giovanni Bassano,c. 1558 , 1617,,Italian,Renaissance,
Scipione Stella,Scipione Stella,1558/1559,1622,,Italian,Renaissance,
Felice Anerio,Felice Anerio,c. 1560 , 1614,,Italian,Renaissance,
Giulio Belli,Giulio Belli,c. 1560 , c. 1621,,Italian,Renaissance,
Dario Castello,Dario Castello,c. 1560 , c. 1658,,Italian,Renaissance,
Giovanni Bernardino Nanino,Giovanni Bernardino Nanino,1560,1623,,Italian,Renaissance,
Lodovico Grossi da Viadana,Lodovico Grossi da Viadana,1560,1627,,Italian,Renaissance,
Scipione Dentice,Scipione Dentice,1560,1635,,Italian,Renaissance,
Carlo Gesualdo,Carlo Gesualdo,1560,1613,,Italian,Renaissance,
Ruggiero Giovannelli,Ruggiero Giovannelli,c. 1560 , 1625,,Italian,Renaissance,
Antonio Il Verso,Antonio Il Verso,c. 1560 , 1621,,Italian,Renaissance,
Stefano Rossetto,Stefano Rossetto,,,1560–1580,Italian,Renaissance,
Leone Leoni (composer),Leone Leoni,c. 1560 , 1627,,Italian,Renaissance,
Jacopo Peri,Jacopo Peri,1561,1633,,Italian,Renaissance,
Francesco Usper,Francesco Usper,c. 1561 , 1641,,Italian,Renaissance,
Giulio Cesare Martinengo,Giulio Cesare Martinengo,1564 or 1568,1613,,Italian,Renaissance,
Erasmo Marotta,Erasmo Marotta,1565,1641,,Italian,Renaissance,
Paola Massarenghi,Paola Massarenghi,1565,,1585,Italian,Renaissance,
Ascanio Mayone,Ascanio Mayone,1565,1627,,Italian,Renaissance,
Simone Molinaro,Simone Molinaro,1565,1615,,Italian,Renaissance,
Alessandro Piccinini,Alessandro Piccinini,1566,1638,,Italian,Renaissance,
Lucia Quinciani,Lucia Quinciani,c. 1566,,1611,Italian,Renaissance,
Girolamo Giacobbi,Girolamo Giacobbi,1567,1629,,Italian,Renaissance,
Lorenzo Allegri,Lorenzo Allegri,1567,1648,,Italian,Renaissance,
Giovanni Francesco Anerio,Giovanni Francesco Anerio,c. 1567 , buried 1630,,Italian,Renaissance,
Claudio Monteverdi,Claudio Monteverdi,1567,1643,,Italian,Renaissance,
Massimo Troiano,Massimo Troiano,,,1567 to 1570 – after 1570,Italian,Renaissance,
Adriano Banchieri,Adriano Banchieri,1568,1634,,Italian,Renaissance,
Bartolomeo Barbarino,Bartolomeo Barbarino,1568,1617 or later,,Italian,Renaissance,
Orazio Bassani,Orazio Bassani,before 1570,1615,,Italian,Renaissance,
Diomedes Cato,Diomedes Cato,c. 1560 , after 1618,,Polish-Lithuanian-Italian,Renaissance,
Giovanni Paolo Cima,Giovanni Paolo Cima,1570,1622,,Italian,Renaissance,
Salamone Rossi,Salamone Rossi,1570,1630,,Italian,Renaissance,
Claudia Sessa,Claudia Sessa,c. 1570 , between 1613 and 1619,,Italian,Renaissance,
Giovanni Battista Fontana (composer),Giovanni Battista Fontana,1571,1630,,Italian,Renaissance,
Giovanni Picchi,Giovanni Picchi,1571,1643,,Italian,Renaissance,
Cesarina Ricci,Cesarina Ricci,c. 1573,,1597,Italian,Renaissance,
Francesco Rasi,Francesco Rasi,1574,1621,,Italian,Renaissance,
Ignazio Donati,Ignazio Donati,1575,1638,,Italian,Renaissance,
Michelagnolo Galilei,Michelagnolo Galilei,1575,1631,,Italian,Renaissance,
Stefano Venturi del Nibbio,Stefano Venturi del Nibbio,,,1592–1600,Italian,Renaissance,
Vittoria Aleotti,Vittoria Aleotti,c. 1575 , after 1620,,Italian,Renaissance,
Giovanni Priuli,Giovanni Priuli,1575,1626,,Italian,Renaissance,
Giovanni Maria Trabaci,Giovanni Maria Trabaci,1575,1647,,Italian,Renaissance,
Stefano Bernardi,Stefano Bernardi,1577,1637,,Italian,Renaissance,
Antonio Brunelli,Antonio Brunelli,1577,1630,,Italian,Renaissance,
Sulpitia Cesis,Sulpitia Cesis,1577,,1619,Italian,Renaissance,
Agostino Agazzari,Agostino Agazzari,1578,1640,,Italian,Renaissance,
Caterina Assandra,Caterina Assandra,1580,after 1618,,Italian,Renaissance,
Adreana Basile,Adreana Basile,c. 1580 , c. 1640,,Italian,Renaissance,
Vincenzo Ugolini,Vincenzo Ugolini,1580,1638,,Italian,Renaissance,
Bellerofonte Castaldi,Bellerofonte Castaldi,1581,1649,,Italian,Renaissance,
Gregorio Allegri,Gregorio Allegri,1582,1652,,Italian,Renaissance,
Severo Bonini,Severo Bonini,1582,1663,,Italian,Renaissance,
Marco da Gagliano,Marco da Gagliano,1582,1643,,Italian,Renaissance,
Sigismondo d'India,Sigismondo d'India,c. 1582 , 1629,,Italian,Renaissance,
Giovanni Valentini,Giovanni Valentini,1582,1649,,Italian,Renaissance,
Paolo Agostino,Paolo Agostino,1583,1629,,Italian,Renaissance,
Girolamo Frescobaldi,Girolamo Frescobaldi,1583,1643,,Italian,Renaissance,
Antonio Cifra,Antonio Cifra,1584,1629,,Italian,Renaissance,
Nicolò Corradini (composer),Nicolò Corradini,1585,1646,,Italian,Renaissance,
Andrea Falconieri,Andrea Falconieri,1585,1656,,Italian,Renaissance,
Francesco Rognoni,Francesco Rognoni,c. 1585 , after 1626,,Italian,Renaissance,
Domenico Allegri,Domenico Allegri,1585,1629,,Italian,Renaissance,
Alessandro Grandi,Alessandro Grandi,1586,1630,,Italian,Renaissance,
Stefano Landi,Stefano Landi,1586,1643,,Italian,Renaissance,
Claudio Saracini,Claudio Saracini,1586,1630,,Italian,Renaissance,
Giovanni Battista Grillo,Giovanni Battista Grillo,,1622,,Italian,Renaissance,
Marcantonio Negri,Marcantonio Negri,,1624,,Italian,Renaissance,
Giovanni Battista Riccio,Giovanni Battista Riccio,,,1609-after 1621,Italian,Renaissance,
Jefimija,Jefimija,1349,1405,,Serbian,Renaissance,
Nikola the Serb,Nikola the Serb,,,late 14th century,Serbian,Renaissance,
Kir Stefan the Serb,Kir Stefan the Serb,second half of the 14th century,15th century,,Serbian,Renaissance,
Isaiah the Serb,Isaiah the Serb,,,second half of the 15th century,Serbian,Renaissance,
Francisco Leontaritis,Francisco Leontaritis,1518,1572,,Greek,Renaissance,
Johannes Cornago,Johannes Cornago,c. 1400,after 1475,,Spanish,Renaissance,
Juan de Urrede,Juan de Urrede,c. 1430,after 1482,,Spanish,Renaissance,
Juan de Triana,Juan de Triana,,,c. 1460–1500,Spanish,Renaissance,
Francisco de la Torre (composer),Francisco de la Torre,,,1483–1504,Spanish,Renaissance,
Juan de Anchieta,Juan de Anchieta,1462,1523,,Spanish,Renaissance,
Juan del Encina,Juan del Encina,1468 , c. 1529,,Spanish,Renaissance,
Francisco de Peñalosa,Francisco de Peñalosa,c. 1470 , 1528,,Spanish,Renaissance,
Andreas De Silva,Andreas De Silva,c. 1475/1480,after 1520,,Spanish,Renaissance,
Mateo Flecha,Mateo Flecha the Elder,1481,1553,,Spanish,Renaissance,
Juan Pérez de Gijón,Juan Pérez de Gijón,,,c. 1460–1500,Spanish,Renaissance,
Luis de Milán,Luis de Milán,c. 1500,after 1561,,Spanish,Renaissance,
Cristóbal de Morales,Cristóbal de Morales,c. 1500 , 1553,,Spanish,Renaissance,
Luis de Narváez,Luis de Narváez,c. 1500 , between 1550 and 1560,,Spanish,Renaissance,
Juan Vásquez (composer),Juan Vásquez,c. 1500 , c. 1560,,Spanish,Renaissance,
Enríquez de Valderrábano,Enríquez de Valderrábano,1500,after 1557,,Spanish,Renaissance,
Miguel de Fuenllana,Miguel de Fuenllana,1500,1578,,Spanish,Renaissance,
Bartolomé de Escobedo,Bartolomé de Escobedo,c. 1505 , 1563,,Spanish,Renaissance,
Juan Bermudo,Juan Bermudo,c. 1510 , c. 1565,,Spanish,Renaissance,
Antonio de Cabezón,Antonio de Cabezón,c. 1510 , 1566,,Spanish,Renaissance,
Alonso Mudarra,Alonso Mudarra,c. 1510 , 1580,,Spanish,Renaissance,
Diego Ortiz,Diego Ortiz,c. 1510 , c. 1570,,Spanish,Renaissance,
Luis Venegas de Henestrosa,Luis Venegas de Henestrosa,c. 1510 , 1570,,Spanish,Renaissance,
Tomás de Santa María,Tomás de Santa María,c. 1515 , 1570,,Spanish,Renaissance,
Joan Brudieu,Joan Brudieu,c. 1520 , 1591,,Spanish,Renaissance,
Rodrigo de Ceballos,Rodrigo de Ceballos,c. 1525 , 1581,,Spanish,Renaissance,
Francisco Guerrero (composer),Francisco Guerrero,1528,1599,,Spanish,Renaissance,
Hernando Franco,Hernando Franco,1532,1585,,Spanish,Renaissance,
Hernando de Cabezón,Hernando de Cabezón,1541,1602,,Spanish,Renaissance,
Ginés de Boluda,Ginés de Boluda,c. 1545 , c. 1606,,Spanish,Renaissance,
Ginés Pérez de la Parra,Ginés Pérez de la Parra,c. 1548 , 1600,,Spanish,Renaissance,
Tomás Luis de Victoria,Tomás Luis de Victoria,1548,1611,,Spanish,Renaissance,
Vicente Espinel,Vicente Espinel,1550,1624,,Spanish,Renaissance,
Ambrosio Cotes,Ambrosio Cotes,c. 1550 , 1603,,Spanish,Renaissance,
Sebastian Raval,Sebastián Raval,c. 1550 , 1604,,Spanish,Renaissance,
Sebastián de Vivanco,Sebastián de Vivanco,c. 1551 , 1622,,Spanish,Renaissance,
Alonso Lobo,Alonso Lobo,c. 1555 , 1617,,Spanish,Renaissance,
Juan Esquivel Barahona,Juan Esquivel Barahona,c. 1560,after 1625,,Spanish,Renaissance,
Sebastián Aguilera de Heredia,Sebastián Aguilera de Heredia,1561,1627,,Spanish,Renaissance,
Joan Baptista Comes,Joan Baptista Comes,1568,1643,,Spanish,Renaissance,
Joan Pau Pujol,Joan Pau Pujol,1570,1626,,Spanish,Renaissance,
Juan Arañés,Juan Arañés,,1649,,Spanish,Renaissance,
Teodora Ginés,Teodora Ginés,c. 1530,1598,,Cuban,Renaissance,
Ludwig Senfl,Ludwig Senfl,c. 1486,1543,,Swiss,Renaissance,
Fridolin Sicher,Fridolin Sicher,1490,1546,,Swiss,Renaissance,
Hans Nielsen (composer),Hans Nielsen,1580,1626,,Danish,Renaissance,
Mogens Pedersøn,Mogens Pedersøn,c. 1583,1623,,Danish,Renaissance,
Hans Brachrogge,Hans Brachrogge,c.1590,1638,,Danish,Renaissance,
Truid Aagesen,Truid Aagesen,,,1593–1625,Danish,Renaissance,
Mikołaj Radomski,Mikołaj Radomski,1380,15th century,,Polish,Renaissance,
Mikołaj z Chrzanowa,Mikołaj z Chrzanowa,1485,1555,,Polish,Renaissance,
Sebastian z Felsztyna,Sebastian z Felsztyna,c. 1490 , 1543,,Polish,Renaissance,
Jan z Lublina,Jan z Lublina,late 15th century , 1540,,Polish,Renaissance,
Wacław z Szamotuł,Wacław z Szamotuł,c. 1520 , c. 1560,,Polish,Renaissance,
Cyprian Bazylik,Cyprian Bazylik,c. 1535 , c. 1600,,Polish,Renaissance,
Mikołaj Gomółka,Mikołaj Gomółka,c. 1535 , c. 1609,,Polish,Renaissance,
Marcin Leopolita,Marcin Leopolita,c. 1540 , c. 1584,,Polish,Renaissance,
Jakub Polak (musician),Jakub Polak,c. 1545 , 1605,,Polish,Renaissance,
Nicolaus Cracoviensis,Nicolaus Cracoviensis,,c. 1550,,Polish,Renaissance,
Tomasz Szadek,Tomasz Szadek,c. 1550 , 1612,,Polish,Renaissance,
Krzysztof Klabon,Krzysztof Klabon,c. 1550 , 1616,,Polish,Renaissance,
Wojciech Długoraj,Wojciech Długoraj,c. 1557 , after 1619,,Polish,Renaissance,
Andreas Chyliński,Andreas Chyliński,1590 , after 1635,,Polish,Renaissance,
Adam Jarzębski,Adam Jarzębski,1590,1648,,Polish,Renaissance,
Mikołaj Zieleński,Mikołaj Zieleński,,,1611,Polish,Renaissance,
Bartłomiej Pękiel,Bartłomiej Pękiel,,,1633 – c. 1670,Polish,Renaissance,
Ondřej Chrysoponus Jevíčský,Ondřej Chrysoponus Jevíčský,1495,1592,,Czech,Renaissance,
Jan Simonides Montanus,Jan Simonides Montanus,1507,1587,,Czech,Renaissance,
Jan Blahoslav,Jan Blahoslav,1523,1571,,Czech,Renaissance,
Jiří Rychnovský,Jiří Rychnovský,1529,1616,,Czech,Renaissance,
Simon Bar Jona Madelka,Simon Bar Jona Madelka,c. 1530,1550-c. 1598,,Czech,Renaissance,
Pavel Spongopaeus Jistebnický,Pavel Spongopaeus Jistebnický,c. 1550,1619,,Czech,Renaissance,
Jan Trojan Turnovský,Jan Trojan Turnovský,c. 1550,1606,,Czech,Renaissance,
Kryštof Harant,Kryštof Harant z Polžic a Bezdružic,1564,1621,,Czech,Renaissance,
Jan Campanus Vodňanský,Johannes Vodnianus Campanus,1572,1622,,Czech,Renaissance,
Adam Václav Michna z Otradovic,Adam Václav Michna z Otradovic,c. 1600,1676,,Czech,Renaissance,
Bálint Bakfark,Bálint Bakfark,1507,1576,,Hungarian,Renaissance,
Sebestyén Tinódi Lantos,Sebestyén Tinódi,c. 1510,1556,,Hungarian,Renaissance,
Jacobus Gallus,Jacobus Gallus,1550,1591,,Slovenian,Renaissance,
Ivan Lukačić,Ivan Lukačić,1587,1648,,Croatian,Renaissance,
Ghiselin Danckerts,Ghiselin Danckerts,c. 1510 , after 1565,,Dutch,Renaissance,
Josquin Baston,Josquin Baston,c. 1515 , c. 1576,,Dutch,Renaissance,
Cornelis Schuyt,Cornelis Schuyt,1557,1616,,Dutch,Renaissance,
Joachim van den Hove,Joachim van den Hove,c. 1567,1620,,Dutch,Renaissance,
Melchior Borchgrevinck,Melchior Borchgrevinck,c. 1570,1632,,Dutch-Danish,Renaissance,
Nicolas Vallet,Nicolas Vallet,1583,1642,,Dutch,Renaissance,
Jacob van Eyck,Jacob van Eyck,1590,1657,,Dutch,Renaissance,
Cornelis Thymenszoon Padbrué,Cornelis Thymenszoon Padbrué,c. 1592 , 1670,,Dutch,Renaissance,
Constantijn Huygens,Constantijn Huygens,1596,1687,,Dutch,Renaissance,
Andreas Düben,Andreas Düben,1597,1662,,Swedish,Renaissance,
Hugo von Montfort,Hugo von Montfort,1357,1423,,German,Renaissance,
Oswald von Wolkenstein,Oswald von Wolkenstein,1376/77,1445,,German,Renaissance,
Conrad Paumann,Conrad Paumann,c. 1410 , 1473,,German,Renaissance,
Heinrich Finck,Heinrich Finck,1444/1445,1527,,German,Renaissance,
Adam von Fulda,Adam von Fulda,c. 1445 , 1505,,German,Renaissance,
Hans Judenkünig,Hans Judenkünig,c. 1450 , 1526,,German,Renaissance,
Arnolt Schlick,Arnolt Schlick,c. 1450 , c. 1525,,German,Renaissance,
Paul Hofhaimer,Paul Hofhaimer,1459,1537,,German,Renaissance,
Sebastian Virdung,Sebastian Virdung,c. 1465,,,German,Renaissance,
Pierre Alamire,Pierre Alamire,c. 1470 , 1536,,German,Renaissance,
Thomas Stoltzer,Thomas Stoltzer,c. 1480 , 1526,,German,Renaissance,
Hans Buchner,Hans Buchner,1483,1538,,German,Renaissance,
Martin Luther,Martin Luther,1483,1546,,German,Renaissance,
Hans Kotter,Hans Kotter,c. 1485 , 1541,,German,Renaissance,
Martin Agricola,Martin Agricola,1486,1556,,German,Renaissance,
Georg Rhau,Georg Rhau,1488,1548,,German,Renaissance,
Arnold von Bruck,Arnold von Bruck,c. 1490 , 1554,,Franco-Flemish-German,Renaissance,
Leonhard Kleber,Leonhard Kleber,c. 1495 , 1556,,German,Renaissance,
Lorenz Lemlin,Lorenz Lemlin,c. 1495 , c. 1549,,German,Renaissance,
Leonhard Päminger,Leonhard Päminger,1495,1567,,German,Renaissance,
Johann Walter,Johann Walter,1496,1570,,German,Renaissance,
Hans Gerle,Hans Gerle,c. 1498 , 1570,,German,Renaissance,
Hans Neusiedler,Hans Neusiedler,1508,1563,,German,Renaissance,
Georg Forster (composer),Georg Forster,c. 1510 , 1568,,German,Renaissance,
Caspar Othmayr,Caspar Othmayr,1515,1553,,German,Renaissance,
Sigmund Hemmel,Sigmund Hemmel,c. 1520 , 1565,,German,Renaissance,
Hermann Finck,Hermann Finck,1527,1558,,German,Renaissance,
Elias Ammerbach,Elias Nikolaus Ammerbach,c. 1530 , 1597,,German,Renaissance,
Matthäus Waissel,Matthäus Waissel,c. 1540 , 1602,,German,Renaissance,
Johannes Eccard,Johannes Eccard,1553,1611,,German,Renaissance,
Leonhard Lechner,Leonhard Lechner,c. 1553 , 1606,,German,Renaissance,
Johannes Nucius,Johannes Nucius,c. 1556 , 1620,,German,Renaissance,
Hieronymus Praetorius,Hieronymus Praetorius,1560,1629,,German,Renaissance,
August Nörmiger,August Nörmiger,c. 1560 , 1613,,German,Renaissance,
Elias Mertel,Elias Mertel,c. 1561 , 1626,,German,Renaissance,
Andreas Raselius,Andreas Raselius,c. 1563 , 1602,,German,Renaissance,
Hans Leo Hassler,Hans Leo Hassler,1564,1612,,German,Renaissance,
Gregor Aichinger,Gregor Aichinger,1565,1628,,German,Renaissance,
Christoph Demantius,Christoph Demantius,1567,1643,,German,Renaissance,
Christian Erbach,Christian Erbach,1568,1635,,German,Renaissance,
Paul Peuerl,Paul Peuerl,1570,1625,,German,Renaissance,
Michael Praetorius,Michael Praetorius,c. 1571 , 1621,,German,Renaissance,
"Maurice, Landgrave of Hesse-Kassel",Moritz von Hessen-Kassel,1572,1632,,German,Renaissance,
Erasmus Widmann,Erasmus Widmann,1572,1634,,German,Renaissance,
Andreas Hakenberger,Andreas Hakenberger,1574,1627,,German,Renaissance,
Melchior Franck,Melchior Franck,1579,1639,,German,Renaissance,
Johannes Hieronymus Kapsberger,Johannes Hieronymus Kapsberger,1580,1651,,German,Renaissance,
Johann Stobäus,Johann Stobäus,1580,1646,,German,Renaissance,
Johannes Jeep,Johannes Jeep,1581/1582,1644,,German,Renaissance,
Johann Staden,Johann Staden,1581,1634,,German,Renaissance,
Johann Daniel Mylius,Johann Daniel Mylius,c. 1583 , 1642,,German,Renaissance,
Michael Altenburg,Michael Altenburg,1584,1640,,German,Renaissance,
Daniel Friderici,Daniel Friderici,1584,1638,,German,Renaissance,
Johann Grabbe,Johann Grabbe,1585,1655,,German,Renaissance,
Peter Hasse,Peter Hasse,1585,1640,,German,Renaissance,
Heinrich Schütz,Heinrich Schütz,1585,1672,,German,Renaissance,
Jacob Praetorius,Jacob Praetorius,1586,1651,,German,Renaissance,
Johann Hermann Schein,Johann Hermann Schein,1586,1630,,German,Renaissance,
Paul Siefert,Paul Siefert,1586,1666,,German,Renaissance,
Samuel Scheidt,Samuel Scheidt,1587,1654,,German,Renaissance,
Johann Schop,Johann Schop,1590,1667,,German,Renaissance,
Johannes Thesselius,Johannes Thesselius,1590,1643,,German,Renaissance,
Melchior Schildt,Melchior Schildt,1592/1593,1667,,German,Renaissance,
Gottfried Scheidt,Gottfried Scheidt,1593,1661,,German,Renaissance,
Johann Ulrich Steigleder,Johann Ulrich Steigleder,1593,1635,,German,Renaissance,
Heinrich Scheidemann,Heinrich Scheidemann,1595,1663,,German,Renaissance,
Johann Crüger,Johann Crüger,1598,1662,,German,Renaissance,
Thomas Selle,Thomas Selle,1599,1663,,German,Renaissance,
Delphin Strungk,Delphin Strungk,1600/1601,1694,,German,Renaissance,
Pedro de Escobar,Pedro de Escobar,c. 1465 , after 1535,,Portuguese,Renaissance,
Vicente Lusitano,Vicente Lusitano,,after 1561,1550,Portuguese,Renaissance,
Bartolomeo Trosylho,Bartolomeo Trosylho,c. 1500 , c. 1567,,Portuguese,Renaissance,
Heliodoro de Paiva,Heliodoro de Paiva,c. 1500 , 1552,,Portuguese,Renaissance,
Damião de Góis,Damião de Góis,1502,1574,,Portuguese,Renaissance,
