article,name,birth,death,nationality,era,flag,flag_reason
Kovách Andor,Kovách Andor,1915,2005,Hungarian,,not_found,
Kováts Barna,Kováts Barna,1920,2005,Hungarian,,,
Kozma Géza (zeneszerző),Kozma Géza,1902,1986,Hungarian,,,
Kozma József (zeneszerző),Kozma József,1905,1969,Hungarian,,,
Kozma Mátyás,Kozma Mátyás,1929,1994,Hungarian,,,
Kozso,Kozso,1965,,Hungarian,,pop,Kategória:Magyar dalszerzők
Krulich Zoltán,Krulich Zoltán,1951,,Hungarian,,not_found,
"Kurtág György (zeneszerző, 1926)",Kurtág György,1926,,Hungarian,,,
Kutrik Bence,Kutrik Bence,1976,,Hungarian,,,
Kusser János Zsigmond,Kusser János Zsigmond,1660,1727,Hungarian,Baroque,not_found,
L.L. Junior,L.L. Junior,1981,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Laczó Zoltán Vince,Laczó Zoltán Vince,1964,,Hungarian,,,
Lajkó Félix,Lajkó Félix,1974,,Hungarian,,,
Lajtha László,Lajtha László,1892,1963,Hungarian,,,
Láng György,Láng György,1908,1976,Hungarian,,,
Láng István (zeneszerző),Láng István,1933,,Hungarian,,,
Langer János,Langer János,1819,1889,Hungarian,,,
Langer Viktor,Langer Viktor,1842,1902,Hungarian,,,
Láni Oszkár,Láni Oszkár,1888,1953,Hungarian,,,
Lányi Ernő,Lányi Ernő,1861,1923,Hungarian,,,
Lányi Viktor Géza,Lányi Viktor Géza,1889,1962,Hungarian,,,
László Ákos (hegedűművész),László Ákos,1871,1946,Hungarian,,,
László Alexander,László Alexander,1895,1970,Hungarian,,not_found,
László Árpád,László Árpád,1864,1960,Hungarian,,,
Lavotta János,Lavotta János,1764,1820,Hungarian,Classical-era,,
Lavotta Rezső,Lavotta Rezső,1876,1962,Hungarian,,,
Lázár Zsigmond,Lázár Zsigmond,1964,,Hungarian,,not_found,
Legány Dénes,Legány Dénes,1965,2000,Hungarian,,not_found,
Lehár Ferenc,Lehár Ferenc,1870,1948,Hungarian,,,
Lehotka Gábor,Lehotka Gábor,1938,2009,Hungarian,,,
Lendvai Ervin,Lendvai Ervin,1882,1949,Hungarian,,,
Lendvay Kamilló,Lendvay Kamilló,1928,2016,Hungarian,,,
Lengyel László Béla,Lengyel László Béla,1891,1957,Hungarian,,,
Lerch István,Lerch István,1953,,Hungarian,,pop,Kategória:Magyar dalszerzők
Lévay Szilveszter,Lévay Szilveszter,1945,,Hungarian,,,
Ligeti György,Ligeti György,1923,2006,Hungarian,,,
Lisznyay Szabó Gábor,Lisznyay Szabó Gábor,1913,1981,Hungarian,,,
Liszt Ferenc,Liszt Ferenc,1811,1886,Hungarian,,,
Losonczy Andor,Losonczy Andor,1932,2018,Hungarian,,,
Lovay László,Lovay László,1952,2018,Hungarian,,pop,Kategória:Magyar énekesek
Lukács László (énekes),Lukács László,1968,,Hungarian,,pop,Kategória:Magyar énekesek
Madarász Iván,Madarász Iván,1949,,Hungarian,,,
Magala Ronnie,Magala Ronnie,1978,,Hungarian,,,
Majláth Júlia,Majláth Júlia,1921,1976,Hungarian,,,
Major Ervin,Major Ervin,1901,1967,Hungarian,,,
Major J. Gyula,Major J. Gyula,1858,1925,Hungarian,,,
Malcsiner Béla,Malcsiner Béla,1904,1978,Hungarian,,not_found,
Malek Miklós (zeneszerző),Malek Miklós,1945,,Hungarian,,,
Malek Miklós (producer),Ifj. Malek Miklós,1975,,Hungarian,,,
Márkos Albert (zeneszerző),Márkos Albert,1914,1981,Hungarian,,,
Márkus Tibor (dzsesszzenész),Márkus Tibor,1956,,Hungarian,,,
Maros Miklós,Maros Miklós,1943,,Hungarian,,,
Maros Rudolf,Maros Rudolf,1917,1982,Hungarian,,,
Maróti Gábor (zeneszerző),Maróti Gábor,1978,,Hungarian,,,
Márta István,Márta István,1952,,Hungarian,,,
Edvin Marton,Edvin Marton,1974,,Hungarian,,,
Máté Péter (énekes),Máté Péter,1947,1984,Hungarian,,pop,Kategória:Magyar énekesek
Matkó Tamás,Matkó Tamás,1981,,Hungarian,,not_found,
Mátray Gábor,Mátray Gábor,1797,1875,Hungarian,,,
Megyeri Krisztina,Megyeri Krisztina,1974,,Hungarian,,,
Megyeri Lajos (zeneszerző),Megyeri Lajos,1935,,Hungarian,,,
Melis László,Melis László,1953,2018,Hungarian,,,
Menner Bernát,Menner Bernát,c. 1786,1846,Hungarian,Classical-era,,
Menner Lajos,Menner Lajos,1797,1872,Hungarian,,not_found,
Mérész Ignác,Mérész Ignác,1943,,Hungarian,,not_found,
Merkl József,Merkl József,,,Hungarian,,not_found,
Mészáros László (zeneszerző),Mészáros László,1979,,Hungarian,,not_found,
Mertz János Gáspár,Mertz János Gáspár,1806,1856,Hungarian,,,
Meskó Ilona,Meskó Ilona,1981,,Hungarian,,,
Mezey Zsigmond,Mezey Zsigmond,1885,1944,Hungarian,,,
Mező Imre (zenész),Mező Imre,1932,,Hungarian,,not_found,
Mihalicza Csenge,Mihalicza Csenge,,,Hungarian,,not_found,
Mihalik Kálmán,Mihalik Kálmán,1896,1922,Hungarian,,,
Mihalovich Ödön,Mihalovich Ödön,1842,1929,Hungarian,,,
Mihály András (zeneszerző),Mihály András,1917,1993,Hungarian,,,
Mihály Tamás,Mihály Tamás,1947,,Hungarian,,,
Molnár Attila Vajk,Molnár Attila Vajk,1975,,Hungarian,,not_found,
Móczán Péter,Móczán Péter,1951,,Hungarian,,,
Mohay Miklós,Mohay Miklós,1960,,Hungarian,,not_found,
Molnár Antal (zenetörténész),Molnár Antal,1890,1983,Hungarian,,,
Molnár György (zenész),Molnár György,1949,,Hungarian,,,
Moór Emánuel,Moór Emánuel,1863,1931,Hungarian,,,
Móricz Mihály,Móricz Mihály,1948,,Hungarian,,pop,Kategória:Magyar énekesek
Mosonyi Mihály,Mosonyi Mihály,1815,1870,Hungarian,,,
Müller Adolf (zeneszerző),Müller Adolf,1801,1886,Hungarian,,,
Muntag Lőrinc,Muntag Lőrinc,1987,,Hungarian,,not_found,
Nádas Gábor,Nádas Gábor,1932,1987,Hungarian,,,
Nádasdy Kálmán,Nádasdy Kálmán,1904,1980,Hungarian,,,
Nádor Gyula,Nádor Gyula,1860,1889,Hungarian,,,
Nádor Mihály,Nádor Mihály,1882,1944,Hungarian,,,
Nagy Ákos (zeneszerző),Nagy Ákos,1982,,Hungarian,,,
Nagy Feró,Nagy Feró,1946,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Nagy Olivér (karmester),Nagy Olivér,1912,2000,Hungarian,,,
Nagypál Béla,Nagypál Béla,1894,1968,Hungarian,,,
Negrelli Henrik,Negrelli Henrik,1911,1993,Hungarian,,not_found,
Németh Amadé,Németh Amadé,1922,2001,Hungarian,,,
Németh Gábor (zenész),Németh Gábor,1955,,Hungarian,,,
Németh Juci,Németh Juci,1977,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Németh Norbert (zeneszerző),Németh Norbert,1975,,Hungarian,,,
Németh Tibor (zeneszerző),Németh Tibor,1961,,Hungarian,,not_found,
Nógrádi Péter,Nógrádi Péter,1952,,Hungarian,,,
Novacek Ottokar Eugen,Novacek Ottokar Eugen,1866,1900,Hungarian,,not_found,
Novák Péter,Novák Péter,1970,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Nyeső Mari,Nyeső Mari,1967,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Nyíregyházi Ervin,Nyíregyházi Ervin,1903,1987,Hungarian,,,
Nyizsnyay Gusztáv,Nyizsnyay Gusztáv,1829,1882,Hungarian,,,
Oláh Károly (zeneszerző),Oláh Károly,1841,1900,Hungarian,,,
Oláh Tibor (zeneszerző),Oláh Tibor,1927,2002,Hungarian,,,
Olsvai Imre,Olsvai Imre,1931,2014,Hungarian,,,
Olsvay Endre,Olsvay Endre,1961,,Hungarian,,not_found,
Orbán György (zeneszerző),Orbán György,1947,,Hungarian,,,
Orbán Tamás,Orbán Tamás,1974,,Hungarian,,,
Orlay Jenő,Orlay Jenő,1905,1973,Hungarian,,,
Országh Tivadar,Országh Tivadar,1901,1963,Hungarian,,,
Ottó Ferenc,Ottó Ferenc,1904,1976,Hungarian,,,
Pacha Gáspár,Pacha Gáspár,1776,1811,Hungarian,,,
Pacsay Attila,Pacsay Attila,1970,,Hungarian,,,
Pálmai Krisztián,Pálmai Krisztián,1975,,Hungarian,,,
Palotásy János,Palotásy János,1831,1878,Hungarian,,not_found,
Pálóczi Horváth Ádám,Pálóczi Horváth Ádám,1760,1820,Hungarian,,,
Papp Lajos (zeneszerző),Papp Lajos,1935,2019,Hungarian,,,
Papp Viktor,Papp Viktor,1881,1954,Hungarian,,,
Pártos Jenő,Pártos Jenő,1895,1963,Hungarian,,,
Pászti Miklós,Pászti Miklós,1928,1989,Hungarian,,,
Patachich Iván,Patachich Iván,1922,1993,Hungarian,,,
Payer András,Payer András,1941,2011,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Pazeller Jakab,Pazeller Jakab,1869,1957,Hungarian,,,
Pécsi József (katonakarmester),Pécsi József (katonakarmester),1874,1958,Hungarian,,,
Pege Aladár,Pege Aladár,1939,2006,Hungarian,,pop,Kategória:Magyar dzsesszzenészek
Perczel György,Perczel György,1963,,Hungarian,,,
Perényi Miklós (gordonkaművész),Perényi Miklós,1948,,Hungarian,,,
Peter Windtorn Molnar,Peter Windtorn Molnar,,,Hungarian,,pop,Kategória:Magyar rockzenészek
Pertis Jenő (zeneszerző),Pertis Jenő,1939,2007,Hungarian,,,
Peskó Zoltán (orgonaművész),Peskó Zoltán,1903,1967,Hungarian,,,
Peskó Zoltán (zeneszerző),Peskó Zoltán,1937,2020,Hungarian,,,
Pető Csaba,Pető Csaba,,,Hungarian,,not_found,
Pethő Zsolt,Pethő Zsolt,1937,2016,Hungarian,,,
Petrovics Emil,Petrovics Emil,1930,2011,Hungarian,,,
Péterfia Miklós,Péterfia Miklós,,,Hungarian,,not_found,
Péter Bence,Péter Bence,1991,,Hungarian,,,
Pierrot (zenész),Pierrot,1969,,Hungarian,,pop,Kategória:Magyar dalszerzők
Pintér Gyula,Pintér Gyula,1954,,Hungarian,,not_found,
Pócs Katalin,Pócs Katalin,1963,2019,Hungarian,,,
Pogatschnigg Guido,Pogatschnigg Guido,1867,1937,Hungarian,,,
Poldini Ede,Poldini Ede,1869,1957,Hungarian,,,
Polgár Tibor (zeneszerző),Polgár Tibor,1907,1993,Hungarian,,,
Pongrácz Zoltán,Pongrácz Zoltán,1912,2007,Hungarian,,,
Popper Dávid,Popper Dávid,1843,1913,Hungarian,,,
Premecz Mátyás,Premecz Mátyás,1982,,Hungarian,,,
Presser Gábor,Presser Gábor,1948,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
"Rácz Pali (cigányprímás, 1815–1885)",Rácz Pali,1815,1885,Hungarian,,pop,Kategória:Magyar dalszerzők
,Radanovic Zoran,1972,,Hungarian,,no_article,
Radics Béla (gitáros),Radics Béla,1946,1982,Hungarian,,pop,Kategória:Magyar rockzenészek
Radics Jenő,Radics Jenő,1889,1951,Hungarian,,,
Radnai Miklós,Radnai Miklós,1892,1935,Hungarian,,,
Radó Aladár (zeneszerző),Radó Aladár,1882,1914,Hungarian,,,
Radó Árpád (újságíró),Radó Árpád,1909,1943,Hungarian,,,
Rajter Lajos,Rajter Lajos,1906,2000,Hungarian,,,
Rakonczai Imre,Rakonczai Imre,1972,,Hungarian,,,
Rakonczai Viktor,Rakonczai Viktor,1976,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Ránki György (zeneszerző),Ránki György,1907,1992,Hungarian,,,
Rátonyi Róbert (zenész),Rátonyi Róbert,1953,,Hungarian,,,
Rauch András,Rauch András,1592,1656,Hungarian,,not_found,
Reinitz Béla,Reinitz Béla,1878,1943,Hungarian,,,
Rékai Nándor (karmester),Rékai Nándor,1870,1943,Hungarian,,,
Reményi Attila,Reményi Attila,1959,,Hungarian,,not_found,
Reményi Béla,Reményi Béla,1883,1938,Hungarian,,pop,"nóta (Hungarian popular-song) composer, not concert music -- no hu.wikipedia article for classify_hu_wiki_composers.py to catch this one automatically"
Reményi Ede (hegedűművész),Reményi Ede,1828,1898,Hungarian,,,
Révay György,Révay György,1878,after 1930,Hungarian,,,
Révész Mitó,Révész Mitó,1905,1936,Hungarian,,,
Ribáry Antal,Ribáry Antal,1924,1992,Hungarian,,,
Risznerné Z. Kozma Ida,Risznerné Z. Kozma Ida,1840?,after 1931,Hungarian,,pop,Kategória:Magyar dalszerzők
Sigmund Romberg,Sigmund Romberg,1887,1951,Hungarian,,,
Rostetter Szilveszter,Rostetter Szilveszter,1957,,Hungarian,,not_found,
Rózmann Ákos,Rózmann Ákos,1939,2005,Hungarian,,,
Rózsa Miklós (zeneszerző),Rózsa Miklós,1907,1995,Hungarian,,,
Rózsa Pál,Rózsa Pál,1946,,Hungarian,,not_found,
Rózsavölgyi Márk,Rózsavölgyi Márk,c. 1788,1848,Hungarian,,,
Ruzitska György,Ruzitska György,1786,1869,Hungarian,,,
Ruzitska Ignác,Ruzitska Ignác,1777,1833,Hungarian,Classical-era,,
Ruzitska József,Ruzitska József,1775,after 1823,Hungarian,,,
Sallay Mihály,Sallay Mihály,1910,1970,Hungarian,,not_found,
Sander Péter,Sander Péter,1933,,Hungarian,,not_found,
Sándor Emma,Sándor Emma,1863,1958,Hungarian,,,
Sárai Tibor,Sárai Tibor,1919,1995,Hungarian,,,
Sári Attila,Sári Attila,1976,,Hungarian,,,
Sári József,Sári József,1935,,Hungarian,,,
Sárik Péter,Sárik Péter,1972,,Hungarian,,pop,Kategória:Magyar énekesek
Sárközy Gergely,Sárközy Gergely,1952,,Hungarian,,,
Sárközy István (zeneszerző),Sárközy István,1920,2002,Hungarian,,not_found,
Sáry Bánk,Sáry Bánk,1973,,Hungarian,,,
Sáry László,Sáry László,1940,,Hungarian,,,
Schóber Tamás,Schóber Tamás,1963,,Hungarian,,,
Schöck Ottó,Schöck Ottó,1946,1999,Hungarian,,pop,Kategória:Magyar dalszerzők
Sebastian (Nagy Péter),Sebastian,1962,,Hungarian,,not_found,
Sebestyén András (zeneszerző),Sebestyén András,1917,1995,Hungarian,,not_found,
Sebő Ferenc,Sebő Ferenc,1947,,Hungarian,,pop,Kategória:Magyar énekesek
Sebők Ferenc,Sebők Ferenc,1952,,Hungarian,,not_found,
Seiber Mátyás,Seiber Mátyás,1905,1960,Hungarian,,,
Selmeczi György (zeneszerző),Selmeczi György,1952,,Hungarian,,,
Sendrey Alfred,Sendrey Alfred,1884,1976,Hungarian,,not_found,
Serei Zsolt,Serei Zsolt,1954,,Hungarian,,,
Seress Rezső,Seress Rezső,1899?,1968,Hungarian,,pop,"Kategória:Öngyilkos zenészek, énekesek"
Serly Lajos,Serly Lajos,1855,1939,Hungarian,,,
Serly Tibor,Serly Tibor,1901,1978,Hungarian,,,
Siklós Albert,Siklós Albert,1878,1942,Hungarian,,,
Sillye Jenő (zeneszerző),Sillye Jenő,1947,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Simon Zoltán (zeneszerző),Simon Zoltán,1920,1991,Hungarian,,,
Simonffy Kálmán,Simonffy Kálmán,1832,1881,Hungarian,,not_found,
Simor Veronika,Simor Veronika,1976,,Hungarian,,,
Siposs Antal,Siposs Antal,1839,1923,Hungarian,,,
Slamovits István,Slamovits István,1953,,Hungarian,,pop,Kategória:Magyar énekesek
Snétberger Ferenc,Snétberger Ferenc,1957,,Hungarian,,,
Solti Árpád,Solti Árpád,198?,,Hungarian,,,
Solti János,Solti János,1953,,Hungarian,,pop,Kategória:Magyar rockzenészek
Soltész Rezső,Soltész Rezső,1945,,Hungarian,,pop,Kategória:Magyar dalszerzők
Thomas Solymosi,Thomas Solymosi,1956,,Hungarian,,,
Soós András (zeneszerző),Soós András,1954,,Hungarian,,,
Som Lajos,Som Lajos,1947,2017,Hungarian,,pop,Kategória:Magyar rockzenészek
Soproni József (zeneszerző),Soproni József,1930,2021,Hungarian,,,
Spándli Szilárd,Spándli Szilárd,1978,,Hungarian,,not_found,
Spech János,Spech János,1769,1836,Hungarian,Classical-era,,
Stark Tibor (zeneszerző),Stark Tibor,1933,2007,Hungarian,,pop,Kategória:Magyar dzsesszzenészek
Steiner Béla (zeneszerző),Steiner Béla,1927,2016,Hungarian,,,
Stollár Xénia,Stollár Xénia,1970,,Hungarian,,not_found,
Sugár Miklós,Sugár Miklós,1952,,Hungarian,,,
Sugár Rezső,Sugár Rezső,1919,1988,Hungarian,,,
Sulyok Imre (zeneszerző),Sulyok Imre,1912,2008,Hungarian,,,
Svastics János,Svastics János,1802,1873,Hungarian,,,
Szabados Béla (zeneszerző),Szabados Béla,1867,1936,Hungarian,,,
Szabados Géza,Szabados Géza,1839,1903,Hungarian,,,
Szabados György (zongoraművész),Szabados György,1939,2011,Hungarian,,,
"Szabó Balázs (zenész, 1978)",Szabó Balázs,1978,,Hungarian,,pop,Kategória:Magyar énekesek
Szabó Csaba (zeneszerző),Szabó Csaba,1936,2003,Hungarian,,,
Szabó Ferenc (zeneszerző),Szabó Ferenc,1902,1969,Hungarian,,,
Szabó Gábor (zenész),Szabó Gábor,1936,1982,Hungarian,,,
Szakácsi Gábor,Szakácsi Gábor,1975,,Hungarian,,pop,Kategória:Magyar dalszerzők
Szakcsi Lakatos Béla,Szakcsi Lakatos Béla,1943,2022,Hungarian,,,
Szalai Katalin,Szalai Katalin,1974,,Hungarian,,not_found,
Szántó Tivadar,Szántó Tivadar,1877,1934,Hungarian,,,
Szarka Gyula,Szarka Gyula,1962,,Hungarian,,pop,Kategória:Magyar énekesek
Szarka Tamás,Szarka Tamás,1964,,Hungarian,,pop,Kategória:Magyar énekesek
Szarvas Gábor,Szarvas Gábor,1977,,Hungarian,,,
Szathmáry Zsigmond,Szathmáry Zsigmond,,,Hungarian,,not_found,
Szautner Zsigmond,Szautner Zsigmond,1844,1910,Hungarian,,not_found,
Szegő Péter,Szegő Péter,1954,,Hungarian,,not_found,
Szécsi Lőrinc,Szécsi Lőrinc,,,Hungarian,,not_found,
Székely Endre,Székely Endre,1912,1989,Hungarian,,,
Székely Iván,Székely Iván,,,Hungarian,,not_found,
Székely Katalin,Székely Katalin,,,Hungarian,,not_found,
Székely Zoltán (hegedűművész),Székely Zoltán,1903,2001,Hungarian,,,
Székelyhidi Zsolt,Székelyhidi Zsolt,1973,,Hungarian,,,
Szelényi István,Szelényi István,1904,1972,Hungarian,,pop,"Kategória:Öngyilkos zenészek, énekesek"
Szemző Tibor,Szemző Tibor,1955,,Hungarian,,,
Szendy Árpád,Szendy Árpád,1863,1922,Hungarian,,,
Szénfy Gusztáv,Szénfy Gusztáv,1819,1875,Hungarian,,,
Szentirmay Elemér,Szentirmay Elemér,1836,1908,Hungarian,,,
Szentpéteri Csilla,Szentpéteri Csilla,1965,,Hungarian,,,
Szerdahelyi József,Szerdahelyi József,1804,1851,Hungarian,,pop,Kategória:Magyar operaénekesek
Szerdahelyi Zoltán,Szerdahelyi Zoltán,,,Hungarian,,not_found,
Szerelemhegyi András,Szerelemhegyi András,1762,1826,Hungarian,,,
Szenes Iván (zeneszerző),Szenes Iván,1924,2010,Hungarian,,,
Szervác Attila,Szervác Attila,,,Hungarian,,not_found,
Szervánszky Endre,Szervánszky Endre,1911,1977,Hungarian,,,
Szigeti Csaba,Szigeti Csaba,1969,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Szigeti Edit,Szigeti Edit,1953,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Szikora Róbert,Szikora Róbert,1953,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Szirmai Albert,Szirmai Albert,1880,1967,Hungarian,,,
Szokolay Sándor,Szokolay Sándor,1931,2013,Hungarian,,,
Szotyori Nagy Károly,Szotyori Nagy Károly,1821,1897,Hungarian,,,
Szőllősy András,Szőllősy András,1921,2007,Hungarian,,,
Szőnyi Erzsébet,Szőnyi Erzsébet,1924,2019,Hungarian,,,
Szörényi Levente,Szörényi Levente,1945,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Szörényi Szabolcs,Szörényi Szabolcs,1943,2024,Hungarian,,pop,Kategória:Magyar énekesek
Sztárai Mihály,Sztárai Mihály,c. 1500,1575,Hungarian,,,
Sztevanovity Zorán,Sztevanovity Zorán,1942,,Hungarian,,pop,Kategória:Magyar dalszerzők
Sztojanovits Jenő,Sztojanovits Jenő,1864,1919,Hungarian,,,
Szunyogh Balázs,Szunyogh Balázs,1954,1990,Hungarian,,,
Szüts Apor,Szüts Apor,1993,,Hungarian,,,
Szűcs Norbert,Szűcs Norbert,1970,,Hungarian,,pop,Kategória:Magyar könnyűzenei előadók
Takács Jenő (zeneszerző),Takács Jenő,1902,2005,Hungarian,,,
Takácsy Imre,Takácsy Imre,1949,2015,Hungarian,,not_found,
Takáts Tamás,Takáts Tamás,1957,,Hungarian,,pop,Kategória:Magyar rockzenészek
Tallér Zsófia,Tallér Zsófia,1970,2021,Hungarian,,,
Tamás Alajos,Tamás Alajos,,,Hungarian,,not_found,
Tamás János,Tamás János,1936,1995,Hungarian,,not_found,
Tamássy Zdenkó,Tamássy Zdenkó,1921,1987,Hungarian,,,
Tardos Béla (zeneszerző),Tardos Béla,1910,1966,Hungarian,,,
Terényi Ede,Terényi Ede,1935,,Hungarian,,,
Teszleri Zoltán,Teszleri Zoltán,,,Hungarian,,not_found,
Thern Károly,Thern Károly,1817,1886,Hungarian,,,
Tihanyi László (zeneszerző),Tihanyi László,1956,,Hungarian,,,
Tillai Aurél,Tillai Aurél,1930,,Hungarian,,,
Tinódi Lantos Sebestyén,Tinódi Lantos Sebestyén,c. 1510,1556,Hungarian,,,
Tiszai Péter,Tiszai Péter,1973,,Hungarian,,,
Togobickij Viktor,Togobickij Viktor,1952,1999,Hungarian,,,
Tolcsvay Béla,Tolcsvay Nagy Béla,1946,,Hungarian,,pop,Kategória:Magyar énekesek
Tolcsvay László,Tolcsvay Nagy László,1950,,Hungarian,,pop,Kategória:Magyar énekesek
Tomsits Rudolf,Tomsits Rudolf,1946,2003,Hungarian,,pop,Kategória:Magyar dzsesszzenészek
Tornyai Péter,Tornyai Péter,1987,,Hungarian,,,
Tóth Armand,Tóth Armand,1955,,Hungarian,,,
Tóth Péter (zeneszerző),Tóth Péter,1965,,Hungarian,,,
Tóth Szabolcs (szitárművész),Tóth Szabolcs,1969,,Hungarian,,,
"Tóth Zoltán (zenész, 1966)",Tóth Zoltán András,1966,,Hungarian,,,
Török Ádám (zenész),Török Ádám,1948,,Hungarian,,pop,Kategória:Magyar rockzenészek
Ullmann Ottó (zeneszerző),Ullmann Ottó,1919,2008,Hungarian,,not_found,
Udvardy László,Udvardy László,1927,,Hungarian,,,
Ujházy Krisztina,Ujházy Krisztina,1974,,Hungarian,,not_found,
Újj Béla,Újj Béla,1873,1942,Hungarian,,not_found,
Urbán Gábor (zeneszerző),Urbán Gábor,1901,1984,Hungarian,,,
Vágvölgyi Béla,Vágvölgyi Béla,1857,,Hungarian,,not_found,
Vajda Gergely,Vajda Gergely,1973,,Hungarian,,,
Vajda János (zeneszerző),Vajda János,1949,,Hungarian,,,
Vandor Iván,Vandor Iván,1932,,Hungarian,,not_found,
Vándor Sándor,Vándor Sándor,1901,1945,Hungarian,,,
Vántus István,Vántus István,1935,1992,Hungarian,,,
Varga Judit (zeneszerző),Varga Judit,1979,,Hungarian,,,
Varga Tibor (hegedűművész),Varga Tibor,1921,2003,Hungarian,,,
Váry Ferenc,Váry Ferenc,1928,2004,Hungarian,,not_found,
Vasadi Balogh Lajos,Vasadi Balogh Lajos,1921,2002,Hungarian,,,
Vásárhelyi Zoltán,Vásárhelyi Zoltán,1900,1977,Hungarian,,,
Vass Lajos (zeneszerző),Vass Lajos,1927,1992,Hungarian,,,
Vasváry-Tóth Tibor,Vasváry-Tóth Tibor,1962,,Hungarian,,pop,Kategória:Magyar könnyűzenei szakírók
Vaszy Viktor,Vaszy Viktor,1903,1979,Hungarian,,,
Vavrinecz Béla,Vavrinecz Béla,1925,2004,Hungarian,,,
Vavrinecz Mór,Vavrinecz Mór,1858,1913,Hungarian,,,
Vécsey Ernő,Vécsey Ernő,1910,1977,Hungarian,,,
Vecsey Ferenc,Vecsey Ferenc,1893,1935,Hungarian,,,
Vécsey Jenő,Vécsey Jenő,1909,1966,Hungarian,,,
Vedres Csaba,Vedres Csaba,1964,,Hungarian,,,
Véghelyi Balázs,Véghelyi Balázs,1983,,Hungarian,,pop,Kategória:Magyar dalszerzők
Veress Sándor (zeneszerző),Veress Sándor,1907,1992,Hungarian,,,
Vermesy Péter,Vermesy Péter,1939,1989,Hungarian,,,
Verő György,Verő György,1857,1941,Hungarian,,,
Victor Máté,Victor Máté,1945,,Hungarian,,,
Vidovszky László,Vidovszky László,1944,,Hungarian,,,
Vigh Kristóf,Vigh Kristóf,1959,,Hungarian,,not_found,
Víg Mihály,Víg Mihály,1957,,Hungarian,,pop,Kategória:Magyar énekesek
Tommy Vig,Víg Tommy,1938,,Hungarian,,pop,Kategória:Amerikai dzsesszzenészek
Vincze Imre (zeneszerző),Vincze Imre,1926,1969,Hungarian,,,
Vincze Ottó (zeneszerző),Vincze Ottó,1906,1984,Hungarian,,,
Vincze Zsigmond,Vincze Zsigmond,1874,1935,Hungarian,,,
Viski János (zeneszerző),Viski János,1906,1961,Hungarian,,,
Voga János,Voga János,1952,,Hungarian,,,
Volkmann Róbert,Volkmann Róbert,1815,1883,Hungarian,,,
Volly István (zeneszerző),Volly István,1907,1992,Hungarian,,,
Vujicsics Tihamér,Vujicsics Tihamér,1929,1975,Hungarian,,,
Rudolf Wagner-Régeny,Rudolf Wagner-Régeny,1903,1969,Hungarian,,,
Walker Abraham,Walker Abraham,1948,,Hungarian,,not_found,
Waszlavik László,Waszlavik László,1951,,Hungarian,,pop,Kategória:Magyar énekesek
Wathay Ferenc,Wathay Ferenc,1568,after 1609,Hungarian,,,
Weber Kristóf,Weber Kristóf,1959,,Hungarian,,,
Weinberger Attila,Weinberger Attila,1965,,Hungarian,,not_found,
Weiner László,Weiner László,1916,1944,Hungarian,,,
Weiner Leó,Weiner Leó,1885,1960,Hungarian,,,
Werner Alajos,Werner Alajos,1905,1978,Hungarian,,,
Wohlberg Max,Wohlberg Max,1907,1996,Hungarian,,not_found,
Wohlmuth János,Wohlmuth János,1643,1724,Hungarian,,not_found,
Wusching Konrád Pál,Wusching Konrád Pál,1827,1900,Hungarian,,,
Würtzler Arisztid,Würtzler Arisztid,1925,1997,Hungarian,,,
Yonderboi,Yonderboi,1980,,Hungarian,,,
Zarándy Ákos,Zarándy Ákos,1982,,Hungarian,,,
Záborszky József,Záborszky József,1918,2015,Hungarian,,,
Zádor Dezső (zeneszerző),Zádor Dezső,1912,1985,Hungarian,,,
Zádor Jenő,Zádor Jenő,1894,1977,Hungarian,,,
Zelenka István,Zelenka István,1936,,Hungarian,,not_found,
Zerkovitz Béla,Zerkovitz Béla,1881,1948,Hungarian,,,
Zichy Géza,Zichy Géza,1849,1924,Hungarian,,,
Zimay László,Zimay László,1833,1900,Hungarian,,,
Zombola Péter,Zombola Péter,1983,,Hungarian,,,
Zsasskovszky Ferenc,Zsasskovszky Ferenc,1819,1887,Hungarian,,,
Zsasskovszky Endre,Zsasskovszky Endre,1824,1882,Hungarian,,,
Zsoldos Péter,Zsoldos Péter,1930,1997,Hungarian,,,
Zsolt Nándor,Zsolt Nándor,1887,1936,Hungarian,,,
